"","id","sentences","doc_id","sentence_id","nchar"
"1","1","greg anderson narrator sullivan interviewer 2017 duluth minnesota greg anderson sullivan name greg anderson","Anderson_Greg",1,140
"2","1","social service supervisor saintlouis_county public health human services area chemical_dependency services","Anderson_Greg",2,129
"3","1","employed saintlouis_county twenty_four plus years","Anderson_Greg",3,70
"4","1","bachelor degree sociology minnesota state mankato","Anderson_Greg",4,68
"5","1","master degree social work university minnesota duluth","Anderson_Greg",5,79
"6","1","born extreme southeastern minnesota","Anderson_Greg",6,44
"7","1","grew farm outside mable minnesota forty miles south winona","Anderson_Greg",7,85
"8","1","went high_school graduated","Anderson_Greg",8,41
"9","1","born june 1956 give_permission record interview yeah just that cover bases","Anderson_Greg",10,145
"10","1","case attorney calls sometime grew farm outside mable minnesota went mankato years winona firsaintthen transferred mankato state okay","Anderson_Greg",11,200
"11","1","family history college education neither mother father","Anderson_Greg",12,93
"12","1","sister degrees sociology nursing parents encourage college absolutely","Anderson_Greg",13,121
"13","1","growing sixties early seventies small rural town basically industry","Anderson_Greg",14,106
"14","1","primary business industry farming","Anderson_Greg",15,44
"15","1","position really take","Anderson_Greg",16,53
"16","1","position carry family farm real clear","Anderson_Greg",18,77
"17","1","sister eight years older","Anderson_Greg",19,38
"18","1","gone went nursing school mankato state university","Anderson_Greg",20,67
"19","1","needed move person oriented person","Anderson_Greg",22,61
"20","1","handled calculus meteorologisaintthen went look mass communication journalism news broadcasting","Anderson_Greg",23,140
"21","1","realized handle egos present area work slipped sociology","Anderson_Greg",25,103
"22","1","degree spent three summers summer program director mable canton communities","Anderson_Greg",26,112
"23","1","strong love first love outside family baseball","Anderson_Greg",27,64
"24","1","spend time following working","Anderson_Greg",28,57
"25","1","kind that twin cities","Anderson_Greg",29,52
"26","1","1978 1987 married moved worked nursing homes","Anderson_Greg",30,80
"27","1","short time activity assistant activity director spent probably eight years social service director","Anderson_Greg",31,122
"28","1","basically coordinated admissions discharged planning addressing psychosocial needs nursing home residents nursing home","Anderson_Greg",32,136
"29","1","that wife moved","Anderson_Greg",33,45
"30","1","realized opportunities just sociology degree first graduating class members advanced generalist program missprogram university minnesota duluth","Anderson_Greg",34,215
"31","1","basically discontinued missprogram start program going advanced generalist generalist practice standard basic social work advanced education","Anderson_Greg",35,211
"32","1","really enlightening experience really unique school years class twenty something individuals basically worked gerontology","Anderson_Greg",36,219
"33","1","everybody else children family services","Anderson_Greg",37,43
"34","1","three individuals dealing chemical_dependency substance disorder type things","Anderson_Greg",38,114
"35","1","interest time continued geriatric elderly assisting supporting individuals going aging process","Anderson_Greg",39,128
"36","1","able assist support families","Anderson_Greg",40,54
"37","1","aging process evolving process grieving transition","Anderson_Greg",41,84
"38","1","transition lose certain skills certain access stages life able deal next phase life","Anderson_Greg",42,163
"39","1","gets older currently even realization understanding witnessed experienced early years school","Anderson_Greg",43,164
"40","1","done internship children family service time saintlouis_county social services","Anderson_Greg",44,116
"41","1","able internship county nursing home","Anderson_Greg",45,57
"42","1","later hired child protection worker","Anderson_Greg",47,44
"43","1","commuted year_half hibbing minnesota","Anderson_Greg",48,57
"44","1","hundred forty four mile trip work","Anderson_Greg",49,61
"45","1","eighteen months first child born opportunity work state minnesota minnesota veteran home silver just opened","Anderson_Greg",50,194
"46","1","spent year working admission coordination","Anderson_Greg",51,54
"47","1","relationship discharge unclear","Anderson_Greg",52,54
"48","1","basically kind last phase life veterans veterans spouses meantime program also looking adding alzheimer dementia unit program year","Anderson_Greg",53,212
"49","1","starting train staff looked opening additional forty beds unit alzheimer group able return duluth chris jenson county nursing home discharge planner chris jensen adding role rehab unit","Anderson_Greg",54,286
"50","1","internship experience established nice relationships nursing home happy bring board","Anderson_Greg",55,140
