"","id","sentences","doc_id","sentence_id","nchar","description","family_experience","treatment_prof","personal_experience"
"1","1","greg anderson narrator_amy_sullivan_interviewer may 18, 2017 duluth, minnesota greg anderson-ga amy_sullivan-as ga: name greg anderson","Anderson_Greg",1,140,"Social worker",NA,TRUE,NA
"2","1","social service supervisor saintlouis_county public_health human_services area chemical_dependency services","Anderson_Greg",2,129,"Social worker",NA,TRUE,NA
"3","1","employed saintlouis_county twenty-four plus years","Anderson_Greg",3,70,"Social worker",NA,TRUE,NA
"4","1","bachelor's degree sociology minnesota_state mankato","Anderson_Greg",4,68,"Social worker",NA,TRUE,NA
"5","1","master's degree social work university_minnesota duluth","Anderson_Greg",5,79,"Social worker",NA,TRUE,NA
"6","1","grew farm outside mable, minnesota, forty miles south winona","Anderson_Greg",7,85,"Social worker",NA,TRUE,NA
"7","1","born june 1956.  as: give_permission_record_interview? ga: yeah.  as: just_say that.  ga: cover bases","Anderson_Greg",10,145,"Social worker",NA,TRUE,NA
"8","1","case attorney calls sometime.  as: grew farm outside mable, minnesota went mankato. ga: two_years winona firsaintthen transferred mankato state.  as: oh, okay","Anderson_Greg",11,200,"Social worker",NA,TRUE,NA
"9","1","family history college education? ga: neither mother father","Anderson_Greg",12,93,"Social worker",NA,TRUE,NA
"10","1","sister degrees sociology nursing.  as: parents encourage go_college? ga: absolutely","Anderson_Greg",13,121,"Social worker",NA,TRUE,NA
"11","1","growing sixties, early seventies small, rural town basically lot industry","Anderson_Greg",14,106,"Social worker",NA,TRUE,NA
"12","1","position really take doo-doo","Anderson_Greg",16,53,"Social worker",NA,TRUE,NA
"13","1","position carry family farm, real clear","Anderson_Greg",18,77,"Social worker",NA,TRUE,NA
"14","1","gone went nursing school mankato state university","Anderson_Greg",20,67,"Social worker",NA,TRUE,NA
"15","1","needed move on, person-oriented person","Anderson_Greg",22,61,"Social worker",NA,TRUE,NA
"16","1","handled calculus meteorologisaintthen went look mass communication journalism, news broadcasting","Anderson_Greg",23,140,"Social worker",NA,TRUE,NA
"17","1","realized handle egos present area work, slipped sociology","Anderson_Greg",25,103,"Social worker",NA,TRUE,NA
"18","1","got ba degree spent three summers summer rec program director mable canton communities","Anderson_Greg",26,112,"Social worker",NA,TRUE,NA
"19","1","strong love—my first love outside family baseball","Anderson_Greg",27,64,"Social worker",NA,TRUE,NA
"20","1","spend lot_time following working","Anderson_Greg",28,57,"Social worker",NA,TRUE,NA
"21","1","kind that.  got twin_cities","Anderson_Greg",29,52,"Social worker",NA,TRUE,NA
"22","1","1978 1987 got_married moved worked nursing homes","Anderson_Greg",30,80,"Social worker",NA,TRUE,NA
"23","1","short-time activity assistant, activity director, spent probably eight years social service director","Anderson_Greg",31,122,"Social worker",NA,TRUE,NA
"24","1","basically coordinated admissions, discharged planning, addressing psychosocial needs nursing home residents nursing home","Anderson_Greg",32,136,"Social worker",NA,TRUE,NA
"25","1","realized lot job opportunities just sociology degree, one_first graduating class members of—the advanced generalist program—missprogram—at university_minnesota duluth","Anderson_Greg",34,215,"Social worker",NA,TRUE,NA
"26","1","umd basically discontinued missprogram, start new program going advanced generalist generalist practice standard basic social work advanced education","Anderson_Greg",35,211,"Social worker",NA,TRUE,NA
"27","1","really enlightening experience me, really unique school two_years class twenty something individuals basically one worked gerontology","Anderson_Greg",36,219,"Social worker",NA,TRUE,NA
"28","1","two_three individuals dealing chemical_dependency, substance_use_disorder type things","Anderson_Greg",38,114,"Social worker",NA,TRUE,NA
"29","1","interest time continued geriatric, elderly, assisting supporting individuals going aging process","Anderson_Greg",39,128,"Social worker",NA,TRUE,NA
"30","1","able assist support families","Anderson_Greg",40,54,"Social worker",NA,TRUE,NA
"31","1","aging process evolving process grieving age transition","Anderson_Greg",41,84,"Social worker",NA,TRUE,NA
"32","1","transition lose certain skills and/or certain access stages life, able deal go next phase life","Anderson_Greg",42,163,"Social worker",NA,TRUE,NA
"33","1","one gets older, currently am, even realization understanding witnessed experienced early years.  got school umd","Anderson_Greg",43,164,"Social worker",NA,TRUE,NA
"34","1","done internship children family service, time saintlouis_county social services","Anderson_Greg",44,116,"Social worker",NA,TRUE,NA
"35","1","able internship county nursing home","Anderson_Greg",45,57,"Social worker",NA,TRUE,NA
"36","1","commuted year_half hibbing, minnesota","Anderson_Greg",48,57,"Social worker",NA,TRUE,NA
"37","1","hundred forty-four mile trip day work","Anderson_Greg",49,61,"Social worker",NA,TRUE,NA
"38","1","eighteen months first child born opportunity work state_minnesota minnesota veteran's home silver bay just opened","Anderson_Greg",50,194,"Social worker",NA,TRUE,NA
"39","1","spent year working admission coordination","Anderson_Greg",51,54,"Social worker",NA,TRUE,NA
"40","1","lot relationship discharge [unclear]","Anderson_Greg",52,54,"Social worker",NA,TRUE,NA
"41","1","basically kind last phase life veterans veterans' spouses, meantime program also looking adding alzheimer's dementia unit program.  year","Anderson_Greg",53,212,"Social worker",NA,TRUE,NA
"42","1","starting train staff looked opening additional forty beds unit alzheimer's group, able return duluth get_job chris jenson county nursing home discharge planner chris jensen adding new role rehab unit","Anderson_Greg",54,286,"Social worker",NA,TRUE,NA
"43","1","internship experience established nice relationships nursing home, happy bring board","Anderson_Greg",55,140,"Social worker",NA,TRUE,NA
"44","1","came realization—i loved work—but duluth saintlouis_county social services going employer probably rest professional career","Anderson_Greg",57,165,"Social worker",NA,TRUE,NA
"45","1","needed come government service center get established","Anderson_Greg",58,86,"Social worker",NA,TRUE,NA
"46","1","basically working purchase service contracts various units divisions anywhere children family service group homes, home care agencies, board lodge programissassisted living programisschemical_dependency treatment_programissmental_health centers","Anderson_Greg",61,267,"Social worker",NA,TRUE,NA
"47","1","wide variety experiences within service areas","Anderson_Greg",62,67,"Social worker",NA,TRUE,NA
